X,Y,Z,Red,Green,Blue,Classification,Classification Name
315000.34,6398618.16,3.45,0,0,0,1,Unclassified
315000.32,6398606.81,2.50,0,0,0,1,Unclassified
315000.14,6398604.94,2.99,0,0,0,1,Unclassified
315000.09,6398603.18,1.95,0,0,0,2,Ground
315000.03,6398586.38,0.25,0,0,0,2,Ground
315000.15,6398588.21,0.63,0,0,0,2,Ground
315000.20,6398589.99,1.67,0,0,0,2,Ground
315000.30,6398591.80,2.13,0,0,0,2,Ground
315000.40,6398593.61,2.65,0,0,0,1,Unclassified
315000.09,6398491.70,-0.16,0,0,0,2,Ground
315000.24,6398493.57,-0.21,0,0,0,2,Ground
315000.38,6398495.44,-0.23,0,0,0,9,Water
315000.44,6398484.73,-0.19,0,0,0,2,Ground
315000.30,6398482.85,-0.17,0,0,0,2,Ground
315000.01,6398467.71,-0.16,0,0,0,2,Ground
315000.29,6398471.48,-0.17,0,0,0,2,Ground
315000.48,6398463.84,-0.20,0,0,0,2,Ground
315000.05,6398444.26,-0.19,0,0,0,2,Ground
315000.19,6398446.14,-0.17,0,0,0,2,Ground
315000.48,6398437.23,-0.15,0,0,0,9,Water
315000.33,6398435.36,-0.14,0,0,0,9,Water
315000.12,6398411.71,-0.11,0,0,0,9,Water
315000.38,6398371.38,-0.16,0,0,0,9,Water
315000.23,6398369.50,-0.17,0,0,0,9,Water
315000.08,6398367.63,-0.22,0,0,0,9,Water
315000.04,6398356.40,-0.14,0,0,0,9,Water
315000.19,6398358.26,-0.13,0,0,0,9,Water
315000.34,6398360.13,-0.15,0,0,0,9,Water
315000.30,6398345.93,-0.18,0,0,0,9,Water
315000.15,6398344.06,-0.20,0,0,0,9,Water
315000.35,6398326.81,-0.16,0,0,0,9,Water
315000.20,6398324.94,-0.18,0,0,0,9,Water
315000.05,6398323.07,-0.17,0,0,0,9,Water
315000.18,6398300.46,-0.18,0,0,0,9,Water
315000.04,6398298.60,-0.19,0,0,0,9,Water
315000.12,6398291.62,-0.13,0,0,0,9,Water
315000.27,6398293.48,-0.16,0,0,0,9,Water
315000.42,6398295.34,-0.17,0,0,0,9,Water
315000.43,6398259.77,-0.16,0,0,0,9,Water
315000.28,6398257.91,-0.16,0,0,0,9,Water
315000.13,6398256.06,-0.16,0,0,0,9,Water
315000.00,6398246.24,-0.24,0,0,0,9,Water
315000.15,6398248.09,-0.20,0,0,0,9,Water
315000.30,6398249.93,-0.22,0,0,0,9,Water
315000.44,6398251.78,-0.16,0,0,0,9,Water
315000.43,6398085.64,-0.17,0,0,0,9,Water
315000.27,6398083.92,0.00,0,0,0,9,Water
315000.12,6398082.22,0.17,0,0,0,9,Water
315000.05,6398074.86,0.95,0,0,0,2,Ground
315000.21,6398076.55,0.76,0,0,0,2,Ground
315000.37,6398078.24,0.42,0,0,0,9,Water
315000.51,6398079.96,0.46,0,0,0,9,Water
315000.39,6398072.33,8.18,0,0,0,1,Unclassified
315000.45,6398068.06,3.05,0,0,0,2,Ground
315000.29,6398066.39,3.39,0,0,0,2,Ground
315000.11,6398064.75,3.93,0,0,0,2,Ground
315000.03,6398062.00,7.74,0,0,0,2,Ground
315000.29,6398063.39,5.82,0,0,0,2,Ground
315000.25,6398065.55,8.48,0,0,0,1,Unclassified
315000.31,6398067.44,9.64,0,0,0,1,Unclassified
315000.41,6398053.95,11.90,0,0,0,1,Unclassified
315000.25,6398052.32,12.33,0,0,0,2,Ground
315000.07,6398050.74,13.01,0,0,0,2,Ground
315000.16,6398046.95,13.92,0,0,0,2,Ground
315000.15,6398048.98,16.00,0,0,0,1,Unclassified
315000.47,6398050.20,13.25,0,0,0,2,Ground
315000.49,6398037.96,15.28,0,0,0,2,Ground
315000.32,6398036.36,15.75,0,0,0,2,Ground
315000.17,6398034.72,16.02,0,0,0,2,Ground
315000.06,6398029.44,18.03,0,0,0,2,Ground
315000.17,6398031.17,18.41,0,0,0,1,Unclassified
315000.49,6398021.96,20.23,0,0,0,2,Ground
315000.17,6398018.80,21.08,0,0,0,2,Ground
315000.01,6398017.22,21.51,0,0,0,2,Ground
315000.06,6398011.18,22.74,0,0,0,2,Ground
315000.23,6398012.72,22.25,0,0,0,2,Ground
315000.37,6398014.34,22.10,0,0,0,2,Ground
315000.47,6398004.64,24.59,0,0,0,1,Unclassified
315000.36,6398002.95,24.32,0,0,0,1,Unclassified
315000.23,6398001.32,24.33,0,0,0,2,Ground
315000.10,6397999.68,24.28,0,0,0,2,Ground
315000.03,6397993.85,25.46,0,0,0,2,Ground
315000.20,6397995.38,24.97,0,0,0,2,Ground
315000.36,6397996.89,24.49,0,0,0,2,Ground
315000.50,6397998.49,24.35,0,0,0,2,Ground
315000.40,6397985.16,27.24,0,0,0,2,Ground
315000.29,6397983.50,26.96,0,0,0,2,Ground
315000.17,6397981.88,26.87,0,0,0,2,Ground
315000.05,6397980.24,26.74,0,0,0,2,Ground
315000.03,6397974.36,28.42,0,0,0,2,Ground
315000.17,6397975.92,28.29,0,0,0,2,Ground
315000.33,6397977.41,27.79,0,0,0,2,Ground
315000.50,6397978.88,27.19,0,0,0,2,Ground
315000.31,6397966.01,32.21,0,0,0,1,Unclassified
315000.44,6397963.60,28.24,0,0,0,2,Ground
315000.37,6397961.84,27.40,0,0,0,2,Ground
315000.24,6397960.26,27.38,0,0,0,2,Ground
315000.06,6397953.02,28.16,0,0,0,2,Ground
315000.18,6397954.59,28.22,0,0,0,2,Ground
315000.29,6397956.20,28.42,0,0,0,2,Ground
315000.16,6397958.65,32.60,0,0,0,1,Unclassified
315000.42,6397957.76,28.43,0,0,0,2,Ground
315000.27,6397962.23,34.75,0,0,0,1,Unclassified
315000.46,6397949.10,34.49,0,0,0,1,Unclassified
315000.42,6397945.27,31.19,0,0,0,2,Ground
315000.27,6397943.80,31.51,0,0,0,2,Ground
315000.12,6397942.33,31.87,0,0,0,2,Ground
315000.02,6397934.74,31.79,0,0,0,2,Ground
315000.14,6397936.31,31.97,0,0,0,2,Ground
315000.26,6397937.83,31.95,0,0,0,2,Ground
315000.39,6397939.37,31.97,0,0,0,2,Ground
315000.51,6397940.91,31.99,0,0,0,2,Ground
315000.21,6397925.77,35.68,0,0,0,1,Unclassified
315000.43,6397925.00,32.22,0,0,0,2,Ground
315000.10,6397924.25,35.58,0,0,0,1,Unclassified
315000.06,6397916.58,33.21,0,0,0,2,Ground
315000.19,6397918.04,33.02,0,0,0,2,Ground
315000.33,6397919.45,32.69,0,0,0,2,Ground
